time,returns,cp_prob,detected_50,detected_75
73,-0.0030551313843351297,0.38611903042404505,0,0
74,0.0011288892632023747,0.4288094232074244,0,0
75,0.004202080272128327,0.44283121134239706,0,0
76,0.0022490693374756037,0.42499148315336566,0,0
77,-0.002122595734683818,0.4243336684401038,0,0
78,0.007486922136814271,0.5321914539880795,1,0
79,-0.0017588581240422627,0.41228005540705254,0,0
80,-0.013507970302836394,0.48213724751836295,0,0
81,0.00048443495399326866,0.421669783170714,0,0
82,0.0029451760545838356,0.448284974950967,0,0
83,-0.005515819860743684,0.386853153767289,0,0
84,0.0031202277023844958,0.5330994580786388,1,0
85,0.0037598075088359677,0.63950772001777,1,0
86,0.004318208094268108,0.6647047850617201,1,0
87,0.01443317619171964,0.4593786926173944,0,0
88,-0.0026165355172763313,0.41040263877268457,0,0
89,0.007826925555148965,0.7164620723507129,1,0
90,0.03571890468206741,0.9994192840175915,1,1
91,0.01120931595497678,0.7656930013445058,1,1
92,-0.0035640130377035074,0.26089817432803264,0,0
93,0.0008019970261540872,0.31769106865564833,0,0
94,0.009441955590410094,0.6676031993840822,1,0
95,0.00033726830965012135,0.29720346154535043,0,0
96,-0.004999824962484742,0.251107770374897,0,0
97,0.001051211059977529,0.3056238699464095,0,0
98,0.0134530467881108,0.8593982000941944,1,1
99,0.006684220390911189,0.49287251356305894,0,0
100,-0.004369691432978687,0.23344640931662533,0,0
101,-0.00034898033317160666,0.27571743865110604,0,0
102,-0.01323052671827596,0.31070672767385105,0,0
103,0.013384134864198474,0.857379256394943,1,1
104,-0.008266629947394756,0.23104555497779863,0,0
105,0.006379900081067008,0.4638260946648576,0,0
106,0.0107879752721215,0.7217428731777399,1,0
107,0.004209183626806385,0.35433958423987055,0,0
108,-0.004450510740664486,0.23540711706962208,0,0
109,-0.0042477631313283465,0.23439686570810214,0,0
110,-0.007387150356829174,0.28905981217343835,0,0
111,0.0005867001533418371,0.46773531886716196,0,0
112,0.010569529767626424,0.5407320976115504,1,0
113,-0.0032521974230770643,0.43075660468465177,0,0
114,-0.013085050984673429,0.43059991605533526,0,0
115,-0.004922130916497229,0.46467816979213866,0,0
116,0.002714867779559224,0.4367866462087144,0,0
117,0.0018269025905967118,0.4445372424789043,0,0
118,0.005856867492362774,0.4667359770346456,0,0
119,0.010400491882237975,0.4702337423432326,0,0
120,-0.002323137008483924,0.467891414296471,0,0
121,-0.04307042241179501,0.9999970721026651,1,1
122,-0.0070009159541659744,0.401267365671213,0,0
123,-0.000572691380909229,0.27093547162544523,0,0
124,0.008122460127230646,0.3338285821681313,0,0
125,-0.024200230230283424,0.9911102151377214,1,1
126,0.001442089380794473,0.24343830840956474,0,0
127,-0.0018387787521100807,0.28078267091006615,0,0
128,0.011284545063174965,0.3591066419689496,0,0
129,-0.003952939898542234,0.3111739918674538,0,0
130,0.014337512582713784,0.5516763359112291,1,0
131,0.005053118283120688,0.26150787418299154,0,0
132,-0.005474096950506045,0.32057258230228447,0,0
133,-0.00431790428509488,0.30680326816238035,0,0
134,0.0003889388464551239,0.23849007134836692,0,0
135,0.0030962765293452944,0.2526894055235579,0,0
136,-0.0178192699457261,0.9029703913254188,1,1
137,0.013238531889531764,0.530635324023017,1,0
138,-0.018076684653405523,0.9123539613332917,1,1
139,0.011784305146106193,0.4216249000444716,0,0
140,0.010963495129448051,0.3781762047167386,0,0
141,0.007494620787379061,0.27390987318384763,0,0
142,0.0022399568930928353,0.3606788107507556,0,0
143,0.004010730056306549,0.38848342800255237,0,0
144,0.012180621389546373,0.6051514001084376,1,0
145,-0.004104821559951688,0.34972360547670717,0,0
146,0.00023967161907459367,0.42891754141051464,0,0
147,-0.003761470905370484,0.38274940493212595,0,0
148,-0.004349966466752613,0.37802930129665596,0,0
149,0.0010356361689732125,0.4464720041986849,0,0
150,-0.015202769123632824,0.45050327575779103,0,0
151,0.007950139256589859,0.47094561548833597,0,0
152,0.020933494530919392,0.7835877627117956,1,1
153,0.000817552138042031,0.38139030864581,0,0
154,0.00276709750278202,0.4058914090804742,0,0
155,0.0032944693287935453,0.4125893969483438,0,0
156,0.007906511640792709,0.5079531675760373,1,0
157,-0.0035896405931065793,0.3490239617538127,0,0
158,-0.010681901223060055,0.3443335769980154,0,0
159,-6.239586370323407e-05,0.47691118455692505,0,0
160,-0.008114940069408182,0.34219584362175204,0,0
161,-0.0012909436242248223,0.507141808289188,1,0
162,-0.006268176139885498,0.4721329688303235,0,0
163,0.0016283825133119353,0.5222763980277402,1,0
164,-0.006127979069329028,0.5011714769976741,1,0
165,0.0008004030488809519,0.5432346584737315,1,0
166,0.006642728923676502,0.4636931718890894,0,0
167,0.0036309905462810453,0.5165681689963981,1,0
168,-0.004955796440569337,0.5181062297156696,1,0
169,0.0050006202509848136,0.5166259000062745,1,0
170,0.0062895229456656765,0.5130437070529679,1,0
171,0.008699659801376517,0.5792120880450004,1,0
172,8.200056143433517e-05,0.5801292761124668,1,0
173,0.002068813438914336,0.7219427784024965,1,0
174,0.00971117580668616,0.3133315359090119,0,0
175,0.008168936076985404,0.4993902003604064,0,0
176,0.0009228865164797148,0.6827099892202096,1,0
177,0.002975036169718111,0.6834931918722125,1,0
178,0.004129179023285877,0.6788250942491912,1,0
179,-0.008921960968052004,0.10145589977338033,0,0
180,-0.014967822397615954,0.024761361726466983,0,0
181,-0.003336985927157171,0.5738187541314874,1,0
182,-0.009848063415073159,0.2977930500288195,0,0
183,0.010182053528709734,0.45935193089028065,0,0
184,0.008067899933717938,0.5625985925310777,1,0
185,-0.0013394425023480617,0.5503669955371103,1,0
186,0.005404099973027002,0.6231002403510706,1,0
187,0.006245582917020141,0.6172616938684531,1,0
188,-0.0044016702327886615,0.4560685966390723,0,0
189,0.022452190996457858,0.45894262231460253,0,0
190,-0.001810037789457234,0.4260472713045355,0,0
191,-0.0009702146904208605,0.4526278256186282,0,0
192,-0.007454065948587854,0.38557069990367315,0,0
193,0.0011041850754376242,0.4809237942287814,0,0
194,-0.013502256670635308,0.4158138195793672,0,0
195,-0.003610816438968777,0.4606210510869075,0,0
196,-0.012260519279846786,0.5785765085115961,1,0
197,-0.0015712494136325707,0.4509166593743103,0,0
198,0.0072260181107725655,0.3858371681225169,0,0
199,0.0018210923429751455,0.41155591156158616,0,0
200,-0.0033729949914059905,0.4674622021206179,0,0
201,0.005572279337133207,0.4728706819680083,0,0
202,0.002995878878051303,0.48447773111170556,0,0
203,0.001716059589354823,0.5115846911509478,1,0
204,-0.004452474951053531,0.49076052291401995,0,0
205,-0.001747728971332054,0.5344793864220677,1,0
206,0.017197719886628455,0.407956229820793,0,0
207,0.004337375684521502,0.48351331241591067,0,0
208,0.00674548084467743,0.48862835277139544,0,0
209,-0.00447630050989748,0.4443400538416091,0,0
210,-0.0101831234736322,0.4802424633533229,0,0
211,0.005335487299895533,0.4699256065635307,0,0
212,0.0029675614983064647,0.525388307127333,1,0
213,0.042736883031555255,0.9948405369382469,1,1
214,-0.07937658642519381,1.0,1,1
215,0.03416871224267639,0.9996779484706877,1,1
216,0.009855648232899077,0.23187817193640675,0,0
217,0.009596845814551877,0.23237776329711582,0,0
218,-0.0023508434510847967,0.12067696316583158,0,0
219,-0.0007529552337325801,0.11695652527414208,0,0
220,0.002802588419703919,0.12366569683087351,0,0
221,0.0019602558019680316,0.11954790069516963,0,0
222,0.0018463860546539632,0.11869914656195694,0,0
223,0.00991041429758316,0.23921600794824915,0,0
224,0.019049054653926156,0.770869784770873,1,1
225,0.006019734128532568,0.15072548375206687,0,0
226,-0.003934450345233883,0.12153857388977998,0,0
227,0.002946728172430718,0.12152084284618962,0,0
228,0.017644731578633,0.6784644529904401,1,0
229,0.0012219363274770828,0.11185090002457085,0,0
230,0.001238451316754674,0.11174760135255418,0,0
231,-0.008300113788429132,0.17993190955520857,0,0
232,0.003772234280639374,0.12475111380954727,0,0
233,-0.007133910165792839,0.15978719075530248,0,0
234,0.01699913308323754,0.6290131456919107,1,0
235,0.0007839745459056502,0.42248309783995397,0,0
236,-0.008524705676726842,0.17316290107308513,0,0
237,-0.0031036187465466143,0.488148759009772,0,0
238,0.0009781749674742746,0.6266125766791061,1,0
239,-0.005806847984697727,0.4098826952275774,0,0
240,0.0016905382223028455,0.6280053085862254,1,0
241,0.00082270832369972,0.6142920636488594,1,0
242,0.0025888784323222346,0.6356389510952821,1,0
243,-0.0016103454566813076,0.5620461511067982,1,0
244,0.0030354675400855492,0.6437016120904518,1,0
245,-0.006419051227163351,0.5130231361066496,1,0
246,0.002021013288862231,0.6963079720639996,1,0
247,-0.010980479876967132,0.29375593053105425,0,0
248,-0.006345788053958894,0.5898451461293928,1,0
249,-0.010618153775875806,0.471493645063782,0,0
250,0.009119843958446125,0.21814029527409745,0,0
251,0.0007173283768597405,0.6820980653778862,1,0
252,0.0007109805946978507,0.7035435882579062,1,0
253,0.0037778940863660818,0.6114139089604137,1,0
254,-0.0002780273637521932,0.7282629841789118,1,0
255,-0.00522031567024868,0.7849741509806883,1,1
256,-0.025283970309356994,0.0003519092212405509,0,0
257,-0.005725967348642504,0.7201877272960534,1,0
258,0.00912536902146461,0.20780807302410254,0,0
259,-0.0023321673106093625,0.6637842200265492,1,0
260,0.007403262225174998,0.35555462786968595,0,0
261,0.0019146980899566104,0.571957613570459,1,0
262,-0.014434857051921289,0.5411823743101711,1,0
263,-0.002154617144170736,0.6136267687363527,1,0
264,0.015252045282576128,0.11946184375264184,0,0
265,-0.0018250313695939184,0.5538407554848129,1,0
266,0.005937452401743411,0.422497905723838,0,0
267,0.0003666585228073267,0.5202950618789065,1,0
268,0.004227546077572175,0.4924864681173193,0,0
269,0.0001707321863752802,0.5490651233889148,1,0
270,0.003955953132479803,0.549317146157991,1,0
271,0.00015928102727922147,0.5849235011259347,1,0
272,-0.0023860067540959966,0.5872736722585701,1,0
273,0.0022941545344812284,0.5638379598121085,1,0
274,0.0029808869787513147,0.5545078207227001,1,0
275,0.0021848870044875695,0.564432910533179,1,0
276,0.005008648310390285,0.545686153229085,1,0
277,-0.005810030153353131,0.46028712663541377,0,0
278,0.0010589713798366221,0.7620670523585965,1,1
279,-0.016013415199839655,0.010662874251036049,0,0
280,0.009803099212587926,0.448636436722782,0,0
281,0.002951052977460002,0.6753829142955492,1,0
282,-0.0035781254062841393,0.6271344657595338,1,0
283,0.011162742763287171,0.3903683772438405,0,0
284,0.004413675342364507,0.7279143849232419,1,0
285,0.004944726796541202,0.7410687782229685,1,0
286,-0.0001764167274477641,0.757800058308062,1,1
287,0.009323611900378654,0.49800839100178157,0,0
288,0.007798238296864562,0.6564895590317024,1,0
289,0.01667604213574037,0.12952950106629255,0,0
290,0.0025765324036802865,0.7062255120644388,1,0
291,-0.0019445148566665721,0.5807288448104275,1,0
292,0.003043283542429899,0.7058414625567239,1,0
293,0.0026886881525356437,0.7086974245187375,1,0
294,-0.008272658582954244,0.2095716916697045,0,0
295,-0.015813255446640695,0.062275095848328625,0,0
296,-0.00018307119916518273,0.5731855539877743,1,0
297,-0.02135031358619733,0.185126211547889,0,0
298,-0.005900423823078574,0.48874799377694844,0,0
299,-0.018360453344705905,0.5557821505117234,1,0
300,0.00900848966811788,0.46516230671897124,0,0
301,0.00024176802035846693,0.48266498173454764,0,0
302,0.008676590367017817,0.45512654882010234,0,0
303,-0.006700592082357265,0.4743724199854282,0,0
304,0.013385498729457783,0.4284630779152429,0,0
305,0.001278119152711722,0.4577565302708977,0,0
306,-0.0028725181644116437,0.4748630265452651,0,0
307,-0.010223640086355677,0.5287034816018277,1,0
308,0.01681046662701125,0.3969024836567402,0,0
309,-0.005453220602462676,0.47983397062769406,0,0
310,-0.011317262076635633,0.6337986336625641,1,0
311,-0.0005813874252417931,0.45632484905508897,0,0
312,0.006304996097780702,0.3467930404093848,0,0
313,-0.013888054379736486,0.7057477394361751,1,0
314,0.009266787686128777,0.2825759184560538,0,0
315,0.018467319533459897,0.3890845773080571,0,0
316,-0.008367148720747725,0.49842778049057074,0,0
317,-0.005678668475407678,0.4593323127307563,0,0
318,0.0023171389452053505,0.44335055425066183,0,0
319,-0.008707334921696647,0.48869279918557845,0,0
320,0.017006585542896368,0.5243612930531936,1,0
321,0.005334473997697746,0.4869724054105684,0,0
322,-0.00944899189514207,0.4326945695220068,0,0
323,-0.006956823889849827,0.4699410000958517,0,0
324,0.005422653099299981,0.461324284236394,0,0
325,-0.013440990747438656,0.5345285746035351,1,0
326,-0.016371354620693328,0.6510431794753679,1,0
327,-0.0010205940026260306,0.4266735563319486,0,0
328,0.00243834553949997,0.41530032256078264,0,0
329,0.002065898202572435,0.4443525379868023,0,0
330,-0.00035673940565021363,0.4769942659263371,0,0
331,0.012813018270499946,0.399785368034139,0,0
332,0.02131487949645517,0.5819906321082574,1,0
333,-0.0004004679204950831,0.4108960195773941,0,0
334,0.0023745944032920493,0.44952685808905957,0,0
335,-0.006120690205249295,0.4401030113999288,0,0
336,0.0007778304308483238,0.4916020577727178,0,0
337,0.0018148267645021086,0.5033936319433464,1,0
338,0.01036089799452294,0.4959384638362824,0,0
339,0.010854988757332883,0.5202624865858136,1,0
340,0.006942012189289258,0.5474969213252288,1,0
341,-0.002120449963726674,0.5093372036527553,1,0
342,-0.0013590396217880805,0.524610111387865,1,0
343,0.003560632790725122,0.5707132510059352,1,0
344,-0.004090531841442012,0.4808206729118885,0,0
345,-0.003140211796418303,0.5170854116430711,1,0
346,0.008030631062332238,0.6218416155130441,1,0
347,-0.0030444776369014256,0.48900516984492687,0,0
348,-0.013190714290489155,0.040779036556466745,0,0
349,-0.011133936117074545,0.2066428837995845,0,0
350,-0.01145303629228701,0.3007895566232373,0,0
351,-0.01441233962018944,0.3369550903260444,0,0
352,0.00850372639954911,0.46527678721242605,0,0
353,-0.00035381617425970705,0.6289414642469433,1,0
354,-0.0014780238150080309,0.6356471259605844,1,0
355,0.0026277124053004385,0.5786357199595465,1,0
356,-0.008760159554020876,0.5541828934196587,1,0
357,-0.0003065308785085863,0.6159882443469793,1,0
358,0.004152766769493129,0.5248020355239054,1,0
359,0.009927843345420951,0.2712123913952145,0,0
360,-0.012314434896784191,0.5377661772017122,1,0
361,-0.02009391480569986,0.44890510298883707,0,0
362,0.004463584323691259,0.369443502638848,0,0
363,-0.0069496484711486775,0.6614893278592124,1,0
364,-0.005703874599296765,0.6596382287133545,1,0
365,-0.015720456966803104,0.7608857127139422,1,1
366,-0.015061670407313146,0.7995528171350055,1,1
367,0.01720779612404246,0.03280833533197401,0,0
368,-0.002073352338633852,0.4647721316968608,0,0
369,0.012286016530683199,0.2009122924398249,0,0
370,-0.017001591362827556,0.7840560686409206,1,1
371,0.01595115566974177,0.31083227824032367,0,0
372,-0.014464223163357976,0.6667984550019243,1,0
373,0.002881127336320133,0.35511161295753113,0,0
374,-0.003503414813092087,0.43973350572902115,0,0
375,-0.00508432400558754,0.47039819556694396,0,0
376,-0.006705034785315216,0.515359771742846,1,0
377,0.01775455277523521,0.4002277677645213,0,0
378,0.005640011809294184,0.33389841532172465,0,0
379,0.004817203492586868,0.33248340324976616,0,0
380,0.004320568575936603,0.33233352242378766,0,0
381,-0.0018853018157418556,0.3869322068522935,0,0
382,-0.006013487157998774,0.45919097136502807,0,0
383,0.017871190786561426,0.5406091166057595,1,0
384,0.0037495730432443096,0.3948248672753495,0,0
385,0.002525639949881982,0.3954735108396999,0,0
386,-0.00442705265207881,0.39399002556743834,0,0
387,-0.004705867548506415,0.39533854321977274,0,0
388,-0.012283792633551541,0.41828785676173513,0,0
389,0.0033968732715552227,0.47239016639866194,0,0
390,-0.003733244076930692,0.48464893749765703,0,0
391,-0.005777469773415935,0.48474588891603,0,0
392,0.004518114433325756,0.5412944736229955,1,0
393,-0.004387664452045737,0.565428559228157,1,0
394,0.009237905844452537,0.4898957531782932,0,0
395,-0.0046513971233364745,0.5337513842593408,1,0
396,-0.007763928765454897,0.4471298014132812,0,0
397,-0.005150384338714907,0.5206406888059072,1,0
398,-0.0013604346027966088,0.678419590516656,1,0
399,0.0010366894336641562,0.6762319234695697,1,0
400,-0.007822214407839806,0.5831799598630513,1,0
401,-0.00212917521257978,0.7019878910699467,1,0
402,0.002684317647796582,0.6104094220024905,1,0
403,0.004480590002614188,0.5684714124811633,1,0
404,0.0021067900776763813,0.7020371978292074,1,0
405,-0.0031855855618394984,0.8150833523447668,1,1
406,-0.005911708227598401,0.7783358045780686,1,1
407,-0.005885257401502349,0.7811659611214553,1,1
408,0.003546962355381484,0.5469259090499138,1,0
409,-0.0006609093207612178,0.8353902754530285,1,1
410,0.006704320644725408,0.22245152972922452,0,0
411,0.021050155805484045,7.781143479853803e-05,0,0
412,0.007094693726053288,0.5560266407999359,1,0
413,0.005348941613705798,0.6164214789631428,1,0
414,0.01146544970575569,0.4333435993188181,0,0
415,0.023438656956175464,0.10016758638313551,0,0
416,-0.005609721673515764,0.40295019826730005,0,0
417,-0.005849436728807391,0.38959498372129076,0,0
418,0.0068978380130241546,0.623399046166659,1,0
419,9.216791059443056e-05,0.5278418124768036,1,0
420,-0.013434163938152714,0.18152547676709768,0,0
421,0.010208088252320072,0.6322687922170885,1,0
422,0.004056174171924297,0.5682308522065346,1,0
423,-0.0012861700681231641,0.45168795191095795,0,0
424,-0.030135914400457237,0.355325941582792,0,0
425,0.011717394373098731,0.5575552887819987,1,0
426,-0.005777397033522724,0.3425808639336084,0,0
427,0.01429169770346427,0.6727801643100334,1,0
428,0.027222010693361453,0.9845446978220055,1,1
429,0.01315544102360256,0.6767315940252903,1,0
430,0.021289667024800157,0.9485005387486617,1,1
431,0.019050751170285755,0.9112512365640602,1,1
432,0.004757588039047765,0.34517071737127814,0,0
433,-0.004334496644996546,0.22538408371795696,0,0
434,-0.0034042647711677,0.23369257900041457,0,0
435,-0.010547733323774509,0.30860110265058704,0,0
436,0.01592406118270421,0.7292112607507498,1,0
437,-0.0022938855457919623,0.26537142947313974,0,0
438,-0.006160769441414763,0.271045199154041,0,0
439,0.0017033797200767579,0.2935172969686032,0,0
440,-0.002690922652640384,0.2683772387227511,0,0
441,-0.01326159389350979,0.38563026809864864,0,0
442,0.008254287019727568,0.42515650640793606,0,0
443,-0.009031573314373296,0.331803208129398,0,0
444,-0.008675962776056569,0.33350560733444473,0,0
445,0.03185389957992198,0.9965497133368812,1,1
446,-0.008096931460016771,0.26706543146911754,0,0
447,-0.0018921016343682914,0.26012414501430614,0,0
448,0.008641830232338324,0.46413735281012103,0,0
449,0.00025477131701904685,0.34373461741579653,0,0
450,0.0009002140083308867,0.3637685364525606,0,0
451,-0.008488898374785211,0.4317312572658847,0,0
452,0.0024227736095007463,0.4387408051439524,0,0
453,-0.0018604216897819448,0.45923855924453877,0,0
454,0.007727070417479464,0.4356848162534694,0,0
455,0.00305996825482637,0.44273779687659653,0,0
456,-0.003730896802628648,0.45000633724552097,0,0
457,0.0017166069197275923,0.4911101865912747,0,0
458,0.005383377631031225,0.48251918911762165,0,0
459,0.00015874076455787555,0.49804935524683913,0,0
460,0.0019056114674034271,0.49989884563457393,0,0
461,-0.005781776855071827,0.4725211805572185,0,0
462,0.0022579817885503245,0.5357640607312776,1,0
463,0.002587121639142071,0.5426405340545548,1,0
464,0.013791812599701773,0.5328529469790036,1,0
465,0.004608977488271488,0.59353976623969,1,0
466,-0.004701762892928877,0.5688038894461986,1,0
467,-0.0025040360782048717,0.7135210518951169,1,0
468,-0.007831172174025687,0.22037784743014238,0,0
469,-0.007541158338172698,0.3781940213622218,0,0
470,0.007107118537232699,0.5191053012493329,1,0
471,-0.005280696395766852,0.6066068140961431,1,0
472,0.0022272752993323366,0.779576288833838,1,1
473,-0.005495077165228466,0.5742811586668841,1,0
474,0.01288044192876403,0.12351421675636669,0,0
475,-0.0032418433386768907,0.6744313297552863,1,0
